WAERS,BUKRS,KTOSL,BELNR,BSCHL,HKONT,DMBTR,WRBTR,label
C2,C29,C1,C10,A1,B1,888402.67,0.0,regular
C1,C13,C4,C41,A1,B3,1262783.4,0.0,regular
C2,C27,C7,C72,A1,B2,3071270.72,3071270.72,regular
C2,C27,C1,C10,A1,B1,336865.2,0.0,regular
C8,C83,C1,C18,A1,B1,420894.69,0.0,regular
C1,C15,C9,C94,A1,B1,529138.9,0.0,regular
C7,C79,C7,C75,A3,B2,13363860.78,0.0,regular
C1,C12,C7,C73,A1,B2,275846.98,30340.0,regular
C1,C17,C1,C15,A1,B1,113028.26,0.0,regular
C8,C84,C1,C11,A1,B1,925244.74,0.0,regular
C2,C21,C7,C74,A1,B2,1344902.36,50177.0,regular
C7,C79,C1,C18,A3,B1,433114.92,0.0,regular
C3,C30,C1,C11,A3,B1,1261470.97,11578.0,regular
C2,C26,C1,C19,A1,B1,743421.09,379287.0,regular
C1,C17,C1,C17,A1,B1,175235.38,0.0,regular
C8,C88,C7,C77,A1,B2,1343053.06,0.0,regular
C4,C48,C3,C33,A2,B2,82229.05,0.0,regular
C3,C34,C3,C31,A3,B2,281607.36,0.0,regular
C3,C37,C6,C61,A3,B2,314726.19,719.0,regular
C1,C11,C1,C17,A1,B1,395129.84,0.0,regular
C1,C19,C6,C64,A1,B2,1139694.22,7342.97,regular
C1,C14,C3,C36,A1,B2,407623.96,0.0,regular
C1,C11,C4,C46,A1,B3,679025.14,11408.0,regular
C1,C17,C4,C48,A1,B3,852113.92,0.0,regular
C1,C15,C7,C75,A1,B2,201019.9,0.0,regular
C1,C12,C2,C29,A1,B3,34909.92,0.0,regular
C1,C10,C9,C97,A1,B1,4027130.19,0.0,regular
C1,C18,C1,C18,A1,B1,199480.03,0.0,regular
C9,C99,C4,C44,A2,B3,576926.86,21500.0,regular
C3,C36,C1,C15,A3,B1,1264682.35,0.0,regular
C2,C28,C8,C87,A1,B3,602427.87,0.0,regular
C5,C58,C1,C13,A3,B1,1241960.23,0.0,regular
C7,C78,C1,C19,A3,B1,1138891.63,0.0,regular
C5,C54,C1,C13,A3,B1,614734.61,0.0,regular
C3,C38,C1,C19,A3,B1,1590650.58,209106.07,regular
C1,C16,C1,C18,A1,B1,112836.2,0.0,regular
C1,C11,C1,C15,A1,B1,841006.64,0.0,regular
C2,C20,C1,C16,A1,B1,2607788.65,11671.0,regular
C9,C94,C1,C13,A2,B1,1145852.65,0.0,regular
C1,C10,C2,C20,A1,B3,191016.07,0.0,regular
C1,C12,C1,C12,A1,B1,165514.62,109123.52,regular
C1,C14,C2,C27,A1,B3,349053.05,0.0,regular
C2,C24,C1,C18,A1,B1,162948.96,0.0,regular
C1,C19,C5,C58,A1,B1,1959424.59,132074.65,regular
C1,C18,C7,C79,A1,B2,785937.76,88521.0,regular
C8,C85,C1,C12,A1,B1,1341279.77,0.0,regular
C1,C13,C1,C12,A1,B1,878696.49,0.0,regular
C2,C20,C1,C13,A1,B1,385181.53,0.0,regular
C1,C17,C2,C21,A1,B3,640253.9,0.0,regular
C1,C17,C2,C21,A1,B3,238044.41,10851.0,regular
C2,C20,C1,C19,A1,B1,1120524.06,0.0,regular
C1,C17,C1,C15,A1,B1,587412.01,1615.01,regular
C3,C36,C5,C55,A3,B1,139092.05,0.0,regular
C1,C18,C8,C81,A1,B3,242270.5,40164.0,regular
C5,C57,C1,C19,A3,B1,754793.81,0.0,regular
C9,C92,C1,C14,A2,B1,2477501.41,11688.0,regular
C4,C40,C2,C20,A2,B3,291166.83,0.0,regular
C1,C16,C1,C19,A1,B1,577116.46,0.0,regular
C1,C18,C1,C14,A1,B1,665466.42,0.0,regular
C1,C13,C3,C34,A1,B2,138035.96,0.0,regular
C3,C30,C2,C20,A3,B3,279115.26,0.0,regular
C1,C17,C1,C19,A1,B1,116598.24,0.0,regular
C2,C23,C1,C19,A1,B1,1487188.04,0.0,regular
C1,C10,C2,C20,A1,B3,754507.01,0.0,regular
C1,C10,C1,C13,A1,B1,118912.11,0.0,regular
C1,C17,C1,C13,A1,B1,52453.65,0.0,regular
C5,C50,C1,C18,A3,B1,101260.74,42669.0,regular
C1,C10,C1,C17,A1,B1,166919.32,0.0,regular
C1,C12,C1,C17,A1,B1,2278950.03,0.0,regular
C6,C64,C2,C24,A2,B3,279626.22,86993.0,regular
